Fecha,Hora,Frecuencia cardiaca,Origen
2026.09.13 00:00:00,00:00:00,63,
2026.09.13 00:05:00,00:05:00,80,
2026.09.13 00:06:00,00:06:00,71,
2026.09.13 00:07:00,00:07:00,83,
2026.09.13 00:08:00,00:08:00,90,
2026.09.13 00:09:00,00:09:00,91,
2026.09.13 00:10:00,00:10:00,84,
2026.09.13 00:11:00,00:11:00,83,
2026.09.13 00:12:00,00:12:00,87,
2026.09.13 00:14:00,00:14:00,63,
2026.09.13 00:16:00,00:16:00,47,
2026.09.13 00:17:00,00:17:00,53,
2026.09.13 00:20:00,00:20:00,70,
2026.09.13 00:21:00,00:21:00,59,
2026.09.13 00:22:00,00:22:00,53,
2026.09.13 00:23:00,00:23:00,63,
2026.09.13 00:25:00,00:25:00,86,
2026.09.13 00:26:00,00:26:00,57,
2026.09.13 00:27:00,00:27:00,60,
2026.09.13 00:29:00,00:29:00,70,
2026.09.13 00:30:00,00:30:00,92,
2026.09.13 00:31:00,00:31:00,52,
2026.09.13 00:35:00,00:35:00,65,
2026.09.13 00:36:00,00:36:00,57,
2026.09.13 00:37:00,00:37:00,58,
2026.09.13 00:39:00,00:39:00,57,
2026.09.13 00:40:00,00:40:00,61,
2026.09.13 00:41:00,00:41:00,73,
2026.09.13 00:42:00,00:42:00,51,
2026.09.13 00:43:00,00:43:00,57,
2026.09.13 00:44:00,00:44:00,79,
2026.09.13 00:47:00,00:47:00,56,
2026.09.13 00:48:00,00:48:00,58,
2026.09.13 00:50:00,00:50:00,87,
2026.09.13 00:52:00,00:52:00,61,
2026.09.13 00:53:00,00:53:00,63,
2026.09.13 00:54:00,00:54:00,53,
2026.09.13 00:56:00,00:56:00,67,
2026.09.13 00:58:00,00:58:00,55,
2026.09.13 00:59:00,00:59:00,52,
2026.09.13 01:01:00,01:01:00,80,
2026.09.13 01:05:00,01:05:00,53,
2026.09.13 01:06:00,01:06:00,61,
2026.09.13 01:07:00,01:07:00,57,
2026.09.13 01:08:00,01:08:00,68,
2026.09.13 01:11:00,01:11:00,82,
2026.09.13 01:12:00,01:12:00,95,
2026.09.13 01:13:00,01:13:00,59,
2026.09.13 01:14:00,01:14:00,59,
2026.09.13 01:15:00,01:15:00,61,
2026.09.13 01:16:00,01:16:00,53,
2026.09.13 01:19:00,01:19:00,56,
2026.09.13 01:21:00,01:21:00,52,
2026.09.13 01:22:00,01:22:00,67,
2026.09.13 01:23:00,01:23:00,59,
2026.09.13 01:24:00,01:24:00,75,
2026.09.13 01:25:00,01:25:00,66,
2026.09.13 01:26:00,01:26:00,54,
2026.09.13 01:29:00,01:29:00,95,
2026.09.13 01:32:00,01:32:00,84,
2026.09.13 01:33:00,01:33:00,46,
2026.09.13 01:38:00,01:38:00,52,
2026.09.13 01:41:00,01:41:00,85,
2026.09.13 01:42:00,01:42:00,81,
2026.09.13 01:43:00,01:43:00,66,
2026.09.13 01:44:00,01:44:00,61,
2026.09.13 01:45:00,01:45:00,70,
2026.09.13 01:47:00,01:47:00,76,
2026.09.13 01:48:00,01:48:00,97,
2026.09.13 01:49:00,01:49:00,87,
2026.09.13 01:50:00,01:50:00,60,
2026.09.13 01:51:00,01:51:00,65,
2026.09.13 01:52:00,01:52:00,52,
2026.09.13 01:53:00,01:53:00,50,
2026.09.13 01:56:00,01:56:00,65,
2026.09.13 01:58:00,01:58:00,46,
2026.09.13 01:59:00,01:59:00,45,
2026.09.13 02:00:00,02:00:00,50,
2026.09.13 02:01:00,02:01:00,58,
2026.09.13 02:02:00,02:02:00,76,
2026.09.13 02:08:00,02:08:00,45,
2026.09.13 02:09:00,02:09:00,45,
2026.09.13 02:10:00,02:10:00,48,
2026.09.13 02:13:00,02:13:00,46,
2026.09.13 02:17:00,02:17:00,47,
2026.09.13 02:18:00,02:18:00,42,
2026.09.13 02:20:00,02:20:00,46,
2026.09.13 02:23:00,02:23:00,44,
2026.09.13 02:30:00,02:30:00,44,
2026.09.13 02:33:00,02:33:00,45,
2026.09.13 02:37:00,02:37:00,79,
2026.09.13 02:40:00,02:40:00,47,
2026.09.13 02:45:00,02:45:00,47,
2026.09.13 02:50:00,02:50:00,48,
2026.09.13 03:00:00,03:00:00,61,
2026.09.13 03:10:00,03:10:00,46,
2026.09.13 03:20:00,03:20:00,66,
2026.09.13 03:30:00,03:30:00,55,
2026.09.13 03:40:00,03:40:00,54,
2026.09.13 03:50:00,03:50:00,49,
2026.09.13 03:51:00,03:51:00,45,
2026.09.13 04:00:00,04:00:00,49,
2026.09.13 04:01:00,04:01:00,48,
2026.09.13 04:10:00,04:10:00,46,
2026.09.13 04:11:00,04:11:00,63,
2026.09.13 04:23:00,04:23:00,47,
2026.09.13 04:24:00,04:24:00,48,
2026.09.13 04:30:00,04:30:00,48,
2026.09.13 04:31:00,04:31:00,47,
2026.09.13 04:40:00,04:40:00,47,
2026.09.13 04:41:00,04:41:00,50,
2026.09.13 04:50:00,04:50:00,48,
2026.09.13 04:51:00,04:51:00,45,
2026.09.13 05:00:00,05:00:00,46,
2026.09.13 05:01:00,05:01:00,48,
2026.09.13 05:10:00,05:10:00,47,
2026.09.13 05:11:00,05:11:00,44,
2026.09.13 05:20:00,05:20:00,46,
2026.09.13 05:21:00,05:21:00,44,
2026.09.13 05:30:00,05:30:00,49,
2026.09.13 05:31:00,05:31:00,48,
2026.09.13 05:40:00,05:40:00,48,
2026.09.13 05:41:00,05:41:00,43,
2026.09.13 05:50:00,05:50:00,47,
